"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"C8B",-1.67709291705039,5.60521688777686,-8.86767011005417,8.2387307628947e-15,2.90326890167684e-13,23.1003601604511
"LNX1",-1.98481317262731,4.19685184103719,-8.85957717071288,8.60876832925038e-15,3.02866964861848e-13,23.0569981022501
"TOX",-1.75034289991666,9.16753191261157,-8.85301625232708,8.92087177022519e-15,3.12303633857638e-13,23.0218505382313
"OR2H2",-1.90803846230663,7.66874094813223,-8.84334786558292,9.40145327422751e-15,3.27517185434141e-13,22.970065616283
"TMEM186",-2.13386958460246,8.15659914721488,-8.84008481394961,9.56940007569853e-15,3.32283802628524e-13,22.9525909771223
"ELN",-3.02455746976505,6.97796452759504,-8.8355740105325,9.80649937643052e-15,3.39412956537559e-13,22.928436428592
"TMEM231",-1.13594721913862,3.2009424918595,-8.83376438237365,9.90325446841507e-15,3.42207118402919e-13,22.918746905681
"BTK",-2.97543773183095,5.21795463,-8.81514143728668,1.09559128203799e-14,3.76752847470552e-13,22.8190555527527
"TNP2",-1.19263140694264,4.7678780182686,-8.8137456444014,1.10391584375842e-14,3.79005190409341e-13,22.811585428823
"SLC1A4",-1.05414473536486,3.27929208885455,-8.80587273533801,1.15206378526822e-14,3.93008340805156e-13,22.7694551420344
"ATG4B",-1.92503056087319,6.56319676382645,-8.79866411031567,1.19798094146823e-14,4.06077508016732e-13,22.7308865474139
"FAM114A2",-1.54298219968613,4.53349723508678,-8.78748841942091,1.27279601231029e-14,4.28040296738365e-13,22.6711059306924
"CCL13",-1.43179684214966,4.71884142318595,-8.7786763851459,1.33505387924186e-14,4.47567905670484e-13,22.6239802213908
"CES3",-1.00639502004735,3.30798126423967,-8.74494417156521,1.60270321225328e-14,5.32281914427197e-13,22.4436775888074
"DNAH2",-1.5550000571785,3.01366489476446,-8.71768642299198,1.85751362920664e-14,6.07461003854638e-13,22.2980912522046
"PMAIP1",-2.35875147045315,9.12879673129752,-8.71020402145759,1.93426059309383e-14,6.30628014740743e-13,22.2581443641872
"AOC4P",-3.0709723716703,3.72265202893388,-8.70402157905644,2.00005005917369e-14,6.5009237463705e-13,22.2251433587126
"NFATC4",-1.53974258586997,5.52080192310744,-8.69655291837946,2.0825046116641e-14,6.73816454274042e-13,22.1852835946857
"PAX9",-1.23850202788806,4.92964100292975,-8.6720860130893,2.37706555438776e-14,7.62195719428689e-13,22.0547585121988
"MRPL33",-2.16417584598935,10.341672785438,-8.66711438228864,2.44181005180659e-14,7.81781913888003e-13,22.0282460938881
"KCND1",-1.84936814650799,6.35184279147107,-8.66447471636965,2.47689634495387e-14,7.91828165366614e-13,22.0141708269287
"SPAG11A",-1.34189139282527,2.55284618727273,-8.63412650199826,2.91819582347801e-14,9.2735225908293e-13,21.8524172442412
"ACSS3",-1.99802703629417,4.85280284178926,-8.63357280749474,2.92693508007054e-14,9.28747379419114e-13,21.8494672940986
"DEPDC1",-1.10983865176178,4.98912739243595,-8.6237838221681,3.08581359392896e-14,9.7194025513795e-13,21.7973210954405
"TNNI1",-1.62036882438358,8.93496075864463,-8.62267370781275,3.10436458925527e-14,9.7634323716563e-13,21.7914083407284
"GJC2",-1.57342142585722,3.36729684255785,-8.61905283097957,3.16564769333207e-14,9.94153036633916e-13,21.7721238336052
"PPFIA2",-1.32209694587806,3.58430652263085,-8.61802755257163,3.18321820929229e-14,9.98203008214932e-13,21.7666636190393
"VCPKMT",-1.16925193231563,2.64669658046694,-8.59665812602867,3.57235436542151e-14,1.10722245970358e-12,21.6528929088322
"YTHDC2",-1.18958952251405,5.17212398259298,-8.59375121099359,3.62882514768665e-14,1.12309508737461e-12,21.6374215674264
"PCDHB3",-1.29936983851926,3.14553211549587,-8.58919274860874,3.71917383286483e-14,1.14607441848237e-12,21.6131627234873
"PP12613",-1.16410760508546,4.49432357600826,-8.58585294317062,3.7867866523257e-14,1.1652280830031e-12,21.5953911312328
"DDRGK1",-4.70257520089546,8.22827243476033,-8.57813655843304,3.94771654142235e-14,1.21125699342061e-12,21.5543373011562
"SMIM27",-1.63161948900715,7.97062764108678,-8.5766768069652,3.97891753707511e-14,1.2190786801182e-12,21.5465718920354
"HRK",-1.05029662141153,5.11473191464187,-8.57565957330439,4.00080507104456e-14,1.22323690164846e-12,21.541160718855
"SNRPB",-1.21403861401361,3.84893612877273,-8.57551406782763,4.00394565325345e-14,1.22323690164846e-12,21.5403867149673
"SLC35H1",-1.14567495126984,4.24661431071901,-8.56859806401254,4.15608479743969e-14,1.26790272641892e-12,21.5036011863365
"ERV9-1",-1.51050880846384,3.32313251247107,-8.56585665419853,4.21797089673672e-14,1.2849467688989e-12,21.4890218365774
"LYG2",-1.18614579262786,3.50389319245455,-8.53078673226206,5.09544722839184e-14,1.54345071719586e-12,21.3026108274124
"LTA",-3.06864498129362,5.50929689899174,-8.52161292485935,5.35353601961447e-14,1.61475652117044e-12,21.2538784316664
"METTL18",-1.5212937497263,5.59540885653719,-8.52106582317626,5.36933240241829e-14,1.61723686112331e-12,21.25097255844
"SPAG6",-2.80104462669549,4.70701496120248,-8.51509643159541,5.54472897006431e-14,1.66302931398488e-12,21.2192696830404
"NOP14",-2.99377805485922,3.60232103204132,-8.50237419922077,5.93779611446395e-14,1.77097257017287e-12,21.1517210340398
"MAST3",-1.78630580237903,6.12119719813223,-8.49611071844151,6.14137799427946e-14,1.82913705812884e-12,21.118474110176
"CKS2",-3.12392683703912,9.12569118930579,-8.47649647909754,6.82491626332623e-14,2.02144364498379e-12,21.0143992874381
"PLAAT4",-3.06523061331908,7.03037196619835,-8.47134187801093,7.01677932054991e-14,2.07252174813753e-12,20.9870583282002
"AKAP10",-1.00163463102437,5.76156656416322,-8.43972562868215,8.31673271588902e-14,2.42628179163675e-12,20.8194499693552
"TCHP",-1.41665406497205,4.71849817000826,-8.43725118180799,8.42805182035053e-14,2.45205785590716e-12,20.806338678288
"TMC7",-1.0058335950354,6.61521442631818,-8.3883028133124,1.09615945916008e-13,3.1675893437569e-12,20.5471765313419
"PTBP3",-1.12758752788523,5.0236427744595,-8.38316181124959,1.12681701991984e-13,3.24739236982297e-12,20.5199792182908
"BLOC1S5",-1.37039986511996,4.98832382385537,-8.38203672091601,1.13363924922351e-13,3.26265042684206e-12,20.5140277509698
"GP1BB",-3.68254295626249,3.56094712061983,-8.37856079378121,1.15497691711146e-13,3.31251551262377e-12,20.4956421956936
"EFCC1",-1.69039474636431,6.60121945933884,-8.35037459084898,1.34342595660192e-13,3.81816541300614e-12,20.3466268487525
"TNFRSF8",-6.36620093349784,7.41555005392562,-8.34171124923531,1.40727316761362e-13,3.98043953568063e-12,20.3008515015466
"NAGPA",-3.18690065132305,8.47449259447107,-8.32394717342249,1.54778281272735e-13,4.35479604292393e-12,20.2070285646875
"ZNF461",-2.09168017993501,6.24123747415702,-8.32117788911497,1.57091027448723e-13,4.40825084253283e-12,20.1924070121661
"EIF5A2",-1.23383083119971,4.74202599032507,-8.28886192223727,1.86758194769604e-13,5.1862434971455e-12,20.0218770140316
"DNMBP",-1.74458708673731,3.738148619,-8.28688515435521,1.88743904780832e-13,5.23457933323983e-12,20.011451419564
"RSRP1",-1.05307215395482,6.60544541978512,-8.28021678878308,1.95598592242517e-13,5.40363251919657e-12,19.9762869566652
"SEPTIN1",-2.69699810566638,8.41021432020661,-8.27281112602433,2.03501623688706e-13,5.6146991910495e-12,19.9372433764919
"PBX3",-1.8912950444316,4.52826199298347,-8.26526552375208,2.11880583150775e-13,5.81582243339949e-12,19.8974716766701
"ANXA2R-OT1",-1.26036108341916,2.87790138699174,-8.25260526943412,2.26716605585808e-13,6.15188451370384e-12,19.8307634434298
"MOG",-1.37498954414415,6.21111147840083,-8.23961023753535,2.43019425241209e-13,6.56091002026047e-12,19.7623200708467
"CLEC4M",-1.34333539402354,6.06585293483471,-8.2351144381896,2.4892679025317e-13,6.69500202248922e-12,19.7386480378415
"GSPT2",-2.27631003749272,6.91751274265289,-8.23025065288754,2.55478543753773e-13,6.83677230809752e-12,19.7130423966432
"ZMYM3",-1.00203805663974,4.00171139542975,-8.21734203579685,2.73710267232326e-13,7.30635344593291e-12,19.6451044323912
"RTL5",-1.00514157293099,2.685426749,-8.21311126797699,2.79962691571823e-13,7.45837216179011e-12,19.6228443054871
"GABPB2",-1.14158945991407,2.93021001442149,-8.19239426668156,3.12690071594231e-13,8.26422831546385e-12,19.51388781694
"GLP2R",-1.92099927155886,3.9434147441405,-8.17825598125352,3.37181129045712e-13,8.90049815917328e-12,19.439574516518
"H2AC6",-1.55389823213128,7.91268294423967,-8.16291610694259,3.65914141723408e-13,9.62327154741796e-12,19.3589860611591
"PNPLA6",-2.89453405691804,6.03412496042975,-8.14489862382388,4.02784144051781e-13,1.05152266457528e-11,19.2643851081416
"QTGAL",-1.75629634630747,5.83093148466116,-8.14110398155412,4.11007976125951e-13,1.07168196949569e-11,19.2444688423975
"HAUS3",-1.65259652625009,9.45435978777686,-8.13442262956829,4.25895599858607e-13,1.10779543666024e-11,19.209408018651
"INPP5A",-1.29806873318556,3.72585004155372,-8.132199360156,4.30967462058757e-13,1.11826368800301e-11,19.1977430844591
"MIA",-2.09840712831342,5.49950805540496,-8.11678413987845,4.67823589863596e-13,1.20511131019748e-11,19.1168883340578
"RGMA",-1.83992643897517,5.64592215990496,-8.11292104815077,4.77540482768939e-13,1.22718134892066e-11,19.0966328150513
"RRN3P1",-1.53553657183923,5.5086399601157,-8.10910834053084,4.87327278857675e-13,1.25082620673145e-11,19.0766441903085
"PAXIP1-DT",-1.67180269085808,4.46861998704959,-8.09676532925243,5.20398215873125e-13,1.33250646282621e-11,19.0119528648967
"NAA25",-1.22863135709112,7.00792618549311,-8.09492476796748,5.25517169199312e-13,1.34079081819012e-11,19.002308679161
"B3GNT4",-2.45556910384451,4.60546747467769,-8.0915392577422,5.35063943409293e-13,1.3635191541176e-11,18.9845709143007
"AKR1A1",-1.03232556667368,3.35933302016529,-8.08928383214558,5.41519458143201e-13,1.37832515240144e-11,18.9727552137672
"MUTYH",-3.51333320299612,6.69557465841322,-8.07367718541945,5.8836023775922e-13,1.49576581873192e-11,18.8910214694462
"PDGFRL",-2.60181170361546,6.63809890945455,-8.06291659011787,6.22980047348109e-13,1.57814221958705e-11,18.8346938209782
"ZNF711",-1.19574065431284,6.54093272480578,-8.05458350731038,6.51174151630127e-13,1.64760947962812e-11,18.7910883872314
"ZNF439",-1.79125811265731,5.80003738445455,-8.05288645482172,6.57069496351656e-13,1.65859563765835e-11,18.7822096563402
"CSTF3",-1.51989657394974,8.19192761067493,-8.0460731827165,6.81276591891493e-13,1.71564405894373e-11,18.746569148814
"ARMCX5",-1.15215927972513,2.66382093779339,-8.03221877735088,7.33266901055239e-13,1.84006047849996e-11,18.6741236261466
"GCSAML-AS1",-2.38364090885244,4.92765049390909,-8.02865220956671,7.47277091676534e-13,1.87301670102727e-11,18.6554798056682
"NDUFAF1",-1.97706427879079,6.49593677080992,-7.97169760633695,1.01065682420472e-12,2.49798338899211e-11,18.3580917631061
"PCDHA6",-2.49097674862507,6.22936035926446,-7.95996450490403,1.0754335000929e-12,2.6397565970671e-11,18.2969068089952
"XPO4",-1.86425813660047,6.67145180601653,-7.95155987711992,1.12435337719541e-12,2.74720439016108e-11,18.2530958106863
