"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"KRT1",1.22714542370471,6.57685842187603,5.69543516871815,8.87493108839713e-08,8.68579988050966e-07,7.20006071828729
"MYH9",1.44359855354804,5.74881143505785,5.68938990229692,9.12596968435724e-08,8.90292748330054e-07,7.17291564325722
"NPY",2.77432137484216,6.72568840052066,5.67738756095881,9.64518158660135e-08,9.36240239917599e-07,7.11907050584434
"BTBD10",1.759026421621,6.28279654079339,5.67208681144725,9.88360168318109e-08,9.56773861941669e-07,7.09531097602528
"MRPL36",1.74325349153391,4.87765660473554,5.66079103136378,1.04110980062715e-07,1.00555856139271e-06,7.04472256285673
"GRTP1",1.80176964278982,7.49772211498347,5.65821759362654,1.05350782015202e-07,1.01707321425617e-06,7.0332054909761
"CYBC1",1.26310396100505,6.60113601015702,5.64886891989997,1.09977601309136e-07,1.05553783189061e-06,6.99139220759038
"IL12A",1.06488434697734,5.60503848475207,5.64863126140857,1.10097780389837e-07,1.05574229915805e-06,6.99032976650995
"IAH1",1.88048859263626,8.03131236339669,5.64792292877322,1.10456733544397e-07,1.05870895190332e-06,6.98716335212181
"SNHG6",1.37881043239302,9.36328435426446,5.6412205770069,1.13910452031057e-07,1.08839270833254e-06,6.95721362321447
"F13B",1.07941678450166,5.60885159109091,5.63277410119507,1.1841387476504e-07,1.12990540465033e-06,6.91949953574115
"HLA-DPA1",1.29003186794754,6.38476742826997,5.60782620215768,1.32758113012901e-07,1.25278369570946e-06,6.80829715662185
"MEX3D",1.26128182839381,6.54349038276584,5.60461735521609,1.34722381486448e-07,1.26963656515583e-06,6.79401495022763
"SALL1",1.19348205823638,6.99818518500413,5.5738690097695,1.55047216546305e-07,1.4483960233361e-06,6.65739998447549
"MED29",1.22820860744169,8.18667866786777,5.56871571465525,1.58735419065123e-07,1.47961365086674e-06,6.63454698262245
"KIFBP",1.21671867952935,9.21054865128926,5.56436461143887,1.61916254778204e-07,1.50728928543528e-06,6.61526108144635
"ATRIP",1.48837485981275,5.78404699555372,5.55106245565403,1.7203257139254e-07,1.59520432570026e-06,6.55635540972122
